bet_id,user_id,date,stake,odds,bet_state,profit_loss,leg_id,leg_odd,leg_result,league_id,bet_type_id,category_id,responsible_id,home_team_id,away_team_id
e5cd74c5-a469-4a9e-807e-7ce4c605d394,fe4bd112-9575-423b-a946-687fd8167552,2025-10-01T05:00:00+00:00,3.0,2.3,lost,-3.0,d04559ba-72b2-449a-a777-480409f2a0c7,1.32,lost,f0411d6e-e2a5-4957-a473-f32947bbaeee,e8f11881-a093-4c2e-a7c1-29ac81bd6132,16f6a43a-2aec-4b31-8277-4859cb4245b4,167caeea-71f4-4f68-924a-10740e616ab3,0a818b59-975e-4e9b-bcfa-98f96cb7573d,19ebb2d8-3132-4168-aa02-8ee5bd6d824e
e5cd74c5-a469-4a9e-807e-7ce4c605d394,fe4bd112-9575-423b-a946-687fd8167552,2025-10-01T05:00:00+00:00,3.0,2.3,lost,-3.0,1f9160b3-04a2-4294-958b-e139340c45bb,1.32,lost,f0411d6e-e2a5-4957-a473-f32947bbaeee,7d0b583e-b3bc-4055-b5db-bf2987da6abe,5f666be7-3ade-4b15-afef-51c19569dd21,167caeea-71f4-4f68-924a-10740e616ab3,0a818b59-975e-4e9b-bcfa-98f96cb7573d,19ebb2d8-3132-4168-aa02-8ee5bd6d824e
e5cd74c5-a469-4a9e-807e-7ce4c605d394,fe4bd112-9575-423b-a946-687fd8167552,2025-10-01T05:00:00+00:00,3.0,2.3,lost,-3.0,f4879fce-fe79-4ec9-9212-79f91154aa8e,1.32,lost,f0411d6e-e2a5-4957-a473-f32947bbaeee,abfc0aae-3937-4416-87d1-77af8b875008,64cd63c7-b3eb-49f2-a822-c31a0385ce28,167caeea-71f4-4f68-924a-10740e616ab3,0a818b59-975e-4e9b-bcfa-98f96cb7573d,19ebb2d8-3132-4168-aa02-8ee5bd6d824e
30c0c97b-1be8-408d-a58a-4f48291fc889,fe4bd112-9575-423b-a946-687fd8167552,2025-10-02T05:00:00+00:00,5.0,2.14,won,5.64,44a283ae-718f-466d-88f8-f34c2cb2e05e,1.11,won,f0411d6e-e2a5-4957-a473-f32947bbaeee,401b65a5-aedc-414a-958c-2050cb5ce5c3,c77d94a1-a456-45e3-953d-e8300a5ec514,e89c9215-9e8c-4628-b057-3383e2543638,a8f3aeb2-7431-45aa-8c9d-c68a54851114,862d869b-5d24-4b01-9033-14967e0f4181
30c0c97b-1be8-408d-a58a-4f48291fc889,fe4bd112-9575-423b-a946-687fd8167552,2025-10-02T05:00:00+00:00,5.0,2.14,won,5.64,4f7ee385-cb9b-4746-90f2-a46bd7837677,1.09,won,f0411d6e-e2a5-4957-a473-f32947bbaeee,683726ea-1bf9-4f1d-bca1-f73903641955,16f6a43a-2aec-4b31-8277-4859cb4245b4,e89c9215-9e8c-4628-b057-3383e2543638,3a29bb4a-d022-4492-9eb3-a18d5f6fa86c,2aa4ef10-af12-437b-a285-329b62dcb2ba
30c0c97b-1be8-408d-a58a-4f48291fc889,fe4bd112-9575-423b-a946-687fd8167552,2025-10-02T05:00:00+00:00,5.0,2.14,won,5.64,04ce7dd5-161d-4589-a055-e3a40cbe5348,1.17,won,f0411d6e-e2a5-4957-a473-f32947bbaeee,2565c605-4e0e-47db-883f-17d36029bc56,c77d94a1-a456-45e3-953d-e8300a5ec514,e89c9215-9e8c-4628-b057-3383e2543638,3a29bb4a-d022-4492-9eb3-a18d5f6fa86c,2aa4ef10-af12-437b-a285-329b62dcb2ba
30c0c97b-1be8-408d-a58a-4f48291fc889,fe4bd112-9575-423b-a946-687fd8167552,2025-10-02T05:00:00+00:00,5.0,2.14,won,5.64,470f5f51-3e7e-4251-a5ad-5ea7a2fe6f91,1.5,won,f0411d6e-e2a5-4957-a473-f32947bbaeee,e8f11881-a093-4c2e-a7c1-29ac81bd6132,16f6a43a-2aec-4b31-8277-4859cb4245b4,e89c9215-9e8c-4628-b057-3383e2543638,a3eb3739-3773-4d58-8614-14ab72b40c10,bfd2457e-c2e5-4a22-a295-b436bb4bf389
560afc5d-06e4-4e9a-a6c9-20fd27c8a386,fe4bd112-9575-423b-a946-687fd8167552,2025-10-03T05:00:00+00:00,5.0,2.1,lost,-5.0,267a52e1-a1b0-453a-9c00-c51586da5595,1.4,lost,eb721fc4-2601-4e50-8288-9998fd220691,507b1f48-1815-4136-9cf6-09a6a7f94461,c77d94a1-a456-45e3-953d-e8300a5ec514,e89c9215-9e8c-4628-b057-3383e2543638,27affa09-e0ac-449b-9171-7f8e9afd6556,9c7a32a2-8098-41c3-82d5-e54903dabe9c
560afc5d-06e4-4e9a-a6c9-20fd27c8a386,fe4bd112-9575-423b-a946-687fd8167552,2025-10-03T05:00:00+00:00,5.0,2.1,lost,-5.0,52f0272f-fa9a-4aeb-9b63-2f8d4ac911ee,1.2,won,eb721fc4-2601-4e50-8288-9998fd220691,683726ea-1bf9-4f1d-bca1-f73903641955,16f6a43a-2aec-4b31-8277-4859cb4245b4,e89c9215-9e8c-4628-b057-3383e2543638,756bf335-93a9-414d-84c5-4c5c7103231e,0e506451-4100-47fc-956f-14cce885d2c3
560afc5d-06e4-4e9a-a6c9-20fd27c8a386,fe4bd112-9575-423b-a946-687fd8167552,2025-10-03T05:00:00+00:00,5.0,2.1,lost,-5.0,d7e1d235-5c1d-4846-aba8-a4515fea8edb,1.25,won,0b6798d4-6c14-47c4-9325-0e2703f4ed17,5bd9be31-8423-4864-8351-92ff8a362a6c,c77d94a1-a456-45e3-953d-e8300a5ec514,e89c9215-9e8c-4628-b057-3383e2543638,03143119-30cd-4242-ac81-81543a3845df,0a092caf-2927-47b9-950e-0d8b0c39910b
